tau_pct,tau_val,theta,acc_rate,n_trades,CAGR,MDD,Calmar,accepted,skipped,days,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,CAGR_minus_Rand,CAGR_minus_All
20,0.044735733466571836,-0.001,0.2013986013986014,144,0.2616678996768196,0.03202931477006132,8.16963776950382,43,101,716,0.08718450264484652,0.3628826991866355,0.022772442879832593,0.10495393111644591,0.35337766353619293,0.06917807194266756,5.108232328722031,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.09170976385937335,-0.06478034003349809
20,0.044735733466571836,0.0,0.2013986013986014,144,0.2616678996768196,0.03202931477006132,8.16963776950382,43,101,716,0.08718450264484652,0.3628826991866355,0.022772442879832593,0.10495393111644591,0.35337766353619293,0.06917807194266756,5.108232328722031,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.09170976385937335,-0.06478034003349809
20,0.044735733466571836,0.001,0.2013986013986014,144,0.2616678996768196,0.03202931477006132,8.16963776950382,43,101,716,0.08718450264484652,0.3628826991866355,0.022772442879832593,0.10495393111644591,0.35337766353619293,0.06917807194266756,5.108232328722031,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.09170976385937335,-0.06478034003349809
30,0.04695787726108203,-0.001,0.3020979020979021,216,0.2651039074006327,0.04316651549354156,6.141424768007896,55,161,716,0.10008858057261444,0.38490873278923643,0.03217793401855533,0.13883118263599753,0.28817007394443994,0.053244172452031724,5.412236882901234,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.02306616654380722,-0.061344332309684946
30,0.04695787726108203,0.0,0.3020979020979021,216,0.2651039074006327,0.04316651549354156,6.141424768007896,55,161,716,0.10008858057261444,0.38490873278923643,0.03217793401855533,0.13883118263599753,0.28817007394443994,0.053244172452031724,5.412236882901234,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.02306616654380722,-0.061344332309684946
30,0.04695787726108203,0.001,0.3020979020979021,216,0.2651039074006327,0.04316651549354156,6.141424768007896,55,161,716,0.10008858057261444,0.38490873278923643,0.03217793401855533,0.13883118263599753,0.28817007394443994,0.053244172452031724,5.412236882901234,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.02306616654380722,-0.061344332309684946
40,0.04965649335905844,-0.001,0.4,286,0.24940692501924366,0.05364351523007349,4.649339700233176,61,225,716,0.10948336714598998,0.42825815693893515,0.03965844902321622,0.15396418181472613,0.33111082589658625,0.06289601742684892,5.26441640413376,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.08170390087734258,-0.077041314691074
40,0.04965649335905844,0.0,0.4,286,0.24940692501924366,0.05364351523007349,4.649339700233176,61,225,716,0.10948336714598998,0.42825815693893515,0.03965844902321622,0.15396418181472613,0.33111082589658625,0.06289601742684892,5.26441640413376,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.08170390087734258,-0.077041314691074
40,0.04965649335905844,0.001,0.4,286,0.24940692501924366,0.05364351523007349,4.649339700233176,61,225,716,0.10948336714598998,0.42825815693893515,0.03965844902321622,0.15396418181472613,0.33111082589658625,0.06289601742684892,5.26441640413376,0.32644823971031767,0.11889511114150952,2.7456826153413276,-0.08170390087734258,-0.077041314691074
50,0.052412538005497784,-0.001,0.5020979020979021,359,0.29738664457646236,0.05586738555258619,5.323081465778308,68,291,716,0.14189898946624957,0.48831502999824744,0.03450707337770127,0.14808339794900038,0.2582796999052661,0.07975200894142576,3.2385353464257043,0.32644823971031767,0.11889511114150952,2.7456826153413276,0.03910694467119624,-0.02906159513385531
50,0.052412538005497784,0.0,0.5020979020979021,359,0.29738664457646236,0.05586738555258619,5.323081465778308,68,291,716,0.14189898946624957,0.48831502999824744,0.03450707337770127,0.14808339794900038,0.2582796999052661,0.07975200894142576,3.2385353464257043,0.32644823971031767,0.11889511114150952,2.7456826153413276,0.03910694467119624,-0.02906159513385531
50,0.052412538005497784,0.001,0.5020979020979021,359,0.29738664457646236,0.05586738555258619,5.323081465778308,68,291,716,0.14189898946624957,0.48831502999824744,0.03450707337770127,0.14808339794900038,0.2582796999052661,0.07975200894142576,3.2385353464257043,0.32644823971031767,0.11889511114150952,2.7456826153413276,0.03910694467119624,-0.02906159513385531
