fold,alpha,qbuf,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.04340905252010875,0.001,0.0,0.2999410143536636,0.02045868693018349,14.660814517433622,0.3230651669460909,0.0211222329741928,15.29502905023407,0.3153797535468348,0.0430707078224114,7.322372198924722,-0.056902865417683676,0.04050168220610643,0.043851109370595685,0.09963024561868411,20.0,262.0,259.0,ok,13.977603351478638,14.603641835024971,7.156221652207134
2,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
3,0.9,0.0,0.05660796327866849,0.001,0.0,0.10538237840150444,0.09181815282525208,1.147729236091993,0.0819151504484763,0.08057946828080409,1.0165759615466512,0.04186681624657895,0.08037399055004824,0.5209000568474801,-0.013167618545455303,0.03491722983503038,0.04751687869713204,0.11288478931046353,25.0,287.0,258.0,ok,1.1353638829670196,1.0041147873937688,0.514498747862552
4,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
5,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
6,0.9,0.0,0.04272472690083928,0.001,0.0,0.6233687073001031,0.016027073564830352,38.89473051824115,0.6611733591430333,0.01732924614642295,38.153613466879555,0.6525751641889506,0.03626392415806978,17.995161288791014,-0.01724923303672221,0.052252140457967604,0.05459452754075175,0.11272557866349178,24.0,421.0,258.0,ok,36.61044306448992,36.07204321777657,17.51225022412543
7,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
8,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
9,0.9,0.0,0.05225840296436678,0.001,0.0,-0.009202399980203113,0.07096710682402674,-0.1296713420066821,0.2697300535712157,0.09103104077781188,2.9630558023561604,0.02058927518628928,0.12679074944183044,0.16238783410405905,-0.034297250581864835,0.04071979075012954,0.039436627554057954,0.13392071679393674,9.0,68.0,259.0,ok,-0.12786952798734472,2.930859537081819,0.1611171017950825
10,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
11,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
