fold,alpha,qbuf,status,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
2,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
3,0.9,0.0,ok,0.05660796327866849,0.0,0.0,0.1053823784015051,0.09181815282525185,1.147729236092003,0.08191515044847697,0.08057946828080365,1.0165759615466652,0.0418668162465794,0.0803739905500479,0.5209000568474877,-0.013167618545455303,0.03491722983503038,0.04751687869713204,0.11288478931046353,25.0,287.0,258.0,1.1353638829670296,1.0041147873937823,0.5144987478625596
4,0.9,0.0,ok,0.03835479610294944,0.001,0.0,0.2351597927154332,0.012076523945975137,19.472473517001323,0.21733879897050068,0.03905550777237188,5.564869370978901,0.2429725074736826,0.03905550777237188,6.221209794270373,-0.012682984271238484,0.04362576945907077,0.035415749505326825,0.08368060293045629,29.0,440.0,248.0,17.983356562262383,5.42594042760854,6.065895078760477
5,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
6,0.9,0.0,ok,0.04272472690083928,0.0,0.0,0.6233687073001031,0.01602707356483024,38.89473051824142,0.6611733591430347,0.01732924614642295,38.153613466879634,0.6525751641889521,0.03626392415806978,17.995161288791056,-0.01724923303672221,0.052252140457967604,0.05459452754075175,0.11272557866349178,24.0,421.0,258.0,36.61044306449016,36.072043217776645,17.51225022412547
7,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
8,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
9,0.9,0.0,ok,0.05225840296436678,0.0,0.0,-0.009202399980202891,0.07096710682402674,-0.12967134200667896,0.26973005357121616,0.09103104077781166,2.9630558023561724,0.02058927518628928,0.12679074944183022,0.16238783410405933,-0.034297250581864835,0.04071979075012954,0.039436627554057954,0.13392071679393674,9.0,68.0,259.0,-0.1278695279873416,2.930859537081831,0.1611171017950828
10,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
11,0.9,0.0,ok,0.03913553337619068,0.002,0.0,0.13339741397929283,0.05948236431146925,2.242638057908728,0.33934565276705997,0.052016306313207195,6.523832175313426,0.4247237586065731,0.07141492883576805,5.947268526771266,-0.002528333350757972,0.10439190978004935,0.04543945819036657,0.07453878796959472,16.0,113.0,258.0,2.2055588517064093,6.400778861550444,5.865140868533015
