alpha,qbuf,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar
0.85,0.0,0.024180394155275398,0.11298649837866202,0.17931563489366414,0.03918799350099453,0.1064689240524239,0.39381356652417343,0.03047954996705958,0.18128419195388942,0.17299864184196004
0.85,0.002,0.024180394155275398,0.11298649837866202,0.17931563489366414,0.03918799350099453,0.1064689240524239,0.39381356652417343,0.03047954996705958,0.18128419195388942,0.17299864184196004
0.85,0.004,0.024180394155275398,0.11298649837866202,0.17931563489366414,0.03918799350099453,0.1064689240524239,0.39381356652417343,0.03047954996705958,0.18128419195388942,0.17299864184196004
0.9,0.0,0.02193082529565217,0.08411399234406057,0.09925528973712679,0.03649089543651844,0.10249037926189776,0.37264319803656226,0.033021925568350693,0.18288336821937795,0.18409396285135887
0.9,0.002,0.02193082529565217,0.08411399234406057,0.09925528973712679,0.03649089543651844,0.10249037926189776,0.37264319803656226,0.033021925568350693,0.18288336821937795,0.18409396285135887
0.9,0.004,0.02193082529565217,0.08411399234406057,0.09925528973712679,0.03649089543651844,0.10249037926189776,0.37264319803656226,0.033021925568350693,0.18288336821937795,0.18409396285135887
0.95,0.0,0.010933580050080438,0.0859786915946365,inf,0.03491799019505003,0.11064901656941428,inf,0.023295689926321674,0.1704619961854684,0.12853502497308172
0.95,0.002,0.010933580050080438,0.0859786915946365,inf,0.03491799019505003,0.11064901656941428,inf,0.023295689926321674,0.1704619961854684,0.12853502497308172
0.95,0.004,0.010933580050080438,0.0859786915946365,inf,0.03491799019505003,0.11064901656941428,inf,0.023295689926321674,0.1704619961854684,0.12853502497308172
